label,cagr,sharpe,mdd,vol,calmar,w_n1,w_pead
N1 100% + PEAD 0%,11.204073469535025,0.6968833450899837,-29.621210631490136,13.924961097014027,0.37824495456725327,1.0,0.0
N1 95% + PEAD 5%,11.252318835657471,0.6869010088082413,-30.131169062677333,14.197560799302853,0.3734444824311651,0.95,0.050000000000000044
N1 90% + PEAD 10%,11.292271707518942,0.674487182333429,-30.64670879281045,14.518099029905935,0.36846604912329267,0.8999999999999999,0.10000000000000009
N1 85% + PEAD 15%,11.323917806018668,0.6600552143500426,-31.167660164999834,14.883478824862092,0.3633226795361117,0.8499999999999999,0.15000000000000013
N1 80% + PEAD 20%,11.347244589981486,0.6440112258139213,-31.693852540758428,15.290485934521147,0.35802667332375837,0.7999999999999998,0.20000000000000018
N1 75% + PEAD 25%,11.362241262011995,0.6267354986402449,-32.2251143914235,15.735890632346425,0.3525896331662357,0.7499999999999998,0.2500000000000002
N1 70% + PEAD 30%,11.368898773771763,0.6085703402907329,-32.76127338959418,16.216529331773028,0.34702249325213397,0.6999999999999997,0.30000000000000027
N1 65% + PEAD 35%,11.367209830677073,0.5898137530509997,-33.31264899771136,16.729365464327987,0.3412280371776505,0.6499999999999997,0.3500000000000003
N1 60% + PEAD 40%,11.357168896012858,0.5707177195211734,-33.89004891161537,17.271531194585872,0.33511810282812365,0.5999999999999996,0.40000000000000036
N1 55% + PEAD 45%,11.338772194462488,0.5514897787551101,-34.471291635743114,17.840352756259172,0.32893377812119373,0.5499999999999996,0.4500000000000004
N1 50% + PEAD 50%,11.31201771504906,0.5322966784681801,-35.0561964801809,18.433362656490086,0.32268240285121447,0.49999999999999956,0.5000000000000004
N1 45% + PEAD 55%,11.276905213487964,0.5132691220026145,-35.644582750498074,19.048301942149877,0.3163708014882118,0.4499999999999995,0.5500000000000005
N1 40% + PEAD 60%,11.233436213946746,0.4945068924041097,-36.23626983849132,19.683115368981767,0.3100053141235369,0.39999999999999947,0.6000000000000005
N1 35% + PEAD 65%,11.181614010213226,0.47608387610514025,-36.83107731222167,20.33594182902993,0.3035918258764271,0.3499999999999994,0.6500000000000006
N1 30% + PEAD 70%,11.12144366626917,0.45805270161408335,-37.90161252826264,21.00510188536207,0.2934293008767393,0.2999999999999994,0.7000000000000006
N1 25% + PEAD 75%,11.052932016268802,0.4404488499693575,-39.29668279123734,21.689083799250263,0.2812688306284587,0.24999999999999933,0.7500000000000007
N1 20% + PEAD 80%,10.976087663920865,0.42329418936780655,-40.67672920388112,22.386529042776328,0.26983702669175263,0.1999999999999993,0.8000000000000007
N1 15% + PEAD 85%,10.89092098127531,0.4065999459691858,-42.041358213630396,23.096217976347198,0.2590525483485526,0.14999999999999925,0.8500000000000008
N1 10% + PEAD 90%,10.797444106913211,0.39036915628357877,-43.390196971438314,23.817056130733853,0.24884524294786337,0.0999999999999992,0.9000000000000008
N1 5% + PEAD 95%,10.695670943540513,0.37459866219422533,-44.72289326957337,24.54806135632342,0.23915427114857912,0.049999999999999156,0.9500000000000008
N1 -0% + PEAD 100%,10.585617154984961,0.359280714044146,-46.03911545408593,25.288351976133573,0.2299265972114913,-8.881784197001252e-16,1.0000000000000009
