date,equity
2015-01-05,0.9938680928628372
2015-01-06,1.0000904972988407
2015-01-07,0.9984465640752147
2015-01-08,0.9906341038501044
2015-01-09,0.9930496561331328
2015-01-12,0.9940740799525379
2015-01-13,0.9894498563621633
2015-01-14,0.9842217547046269
2015-01-15,0.9844362070827092
2015-01-16,0.9883057303311203
2015-01-19,0.9877560492608551
2015-01-20,0.992099268837797
2015-01-21,0.9945205028976631
2015-01-22,0.9906799772209851
2015-01-23,0.9905580143791176
2015-01-26,0.9881619278685493
2015-01-27,0.988674415775568
2015-01-28,0.9874610433225173
2015-01-29,0.9852848390457176
2015-01-30,0.9878467207787094
2015-02-02,0.9922576259678173
2015-02-03,0.9945343433255434
2015-02-04,0.9936133320025391
2015-02-05,0.9958871784041419
2015-02-06,0.9954863107154914
2015-02-09,0.999329037652061
2015-02-10,0.9988413203366338
2015-02-11,0.9943624401034921
2015-02-12,0.9938795703960951
2015-02-13,0.9945644748946586
2015-02-24,0.9928927532904426
2015-02-25,0.9933459424736089
2015-02-26,0.9956594453817471
2015-03-02,0.9917222843389174
2015-03-03,0.994420970317327
2015-03-04,0.9957380893428869
2015-03-05,0.9936976823405291
2015-03-06,0.9928593622899582
2015-03-09,0.9923193161364648
2015-03-10,0.9895113185392205
2015-03-11,0.9871929142093212
2015-03-12,0.985472860594909
2015-03-13,0.9815687893313338
2015-03-16,0.9779394407191001
2015-03-17,0.9828316333166401
2015-03-18,0.98491951322491
2015-03-19,0.9833173804377616
2015-03-20,0.9828947895793072
2015-03-23,0.9812517296171495
2015-03-24,0.9836070362055974
2015-03-25,0.9797709403737582
2015-03-26,0.9833336704163862
2015-03-27,0.9851194235774448
2015-03-30,0.9857094891037925
2015-03-31,0.9822410189018582
2015-04-01,0.982593088456442
2015-04-02,0.9810199605401253
2015-04-07,0.979728595428395
2015-04-08,0.9794198983209874
2015-04-09,0.9839955215593132
2015-04-10,0.9830511652102476
2015-04-13,0.9817584704365484
2015-04-14,0.9810971841069587
2015-04-15,0.980984268148629
2015-04-16,0.9782034326168085
2015-04-17,0.9824423282114353
