w_mom_52w_no_cta,w_inst_flow_cta,w_pead_no_cta,cagr,vol,sharpe,mdd,calmar
0.0,0.0,1.0,10.582916433521694,25.28375396222503,0.35923923508716094,-46.0391154540856,0.22986793575727887
0.0,0.05,0.95,10.535402496158852,24.33537061010079,0.37128682529324464,-44.793265901836044,0.23520058839306499
0.0,0.1,0.9,10.475315741907787,23.39782819811445,0.38359610413034306,-43.55150689555604,0.24052705609083483
0.0,0.15,0.85,10.402694361804077,22.472483605398335,0.3961597889280682,-42.30956617046596,0.24587097678788394
0.0,0.2,0.8,10.317580390341053,21.560907396262557,0.40896147032612934,-41.066121129367474,0.2512431197930373
0.0,0.25,0.75,10.22001967705144,20.664921714209736,0.4219720644310657,-39.82219065049692,0.25664132259192796
0.0,0.3,0.7,10.110061856300302,19.786644599515085,0.435145120891862,-38.57881360286149,0.2620625393091511
0.0,0.35,0.65,9.98776031531361,18.928541225079055,0.4484106944315336,-37.3370474842878,0.26750268133859983
0.0,0.4,0.6,9.853172160467238,18.09348210434935,0.46166747297687305,-36.097966997722196,0.2729564288506602
0.0,0.45,0.55,9.706358181864294,17.284807484036325,0.4747729003891663,-34.862662568256965,0.2784170073889335
0.0,0.5,0.5,9.547382816225202,16.506395675885184,0.487531195437289,-33.632238803577344,0.2838759225035498
0.0,0.55,0.45,9.376314108122607,15.762730728095914,0.4996795443624279,-32.407812900699554,0.28932264379742245
0.0,0.6,0.4,9.193223669587125,15.058961290637956,0.5108734607326433,-31.190513002095955,0.2947442278031578
0.0,0.65,0.35,8.998186638116955,14.400937596153272,0.520673503933511,-29.981476504462854,0.3001248666581695
0.0,0.7,0.3,8.79128163311953,13.795207337788154,0.5285372995552652,-29.070878241260655,0.30240853269585627
0.0,0.75,0.25,8.572590710820016,13.248944889526964,0.5338229398486488,-28.39324117326135,0.30192363945025924
0.0,0.8,0.2,8.342199317667664,12.769784227925557,0.5358116625576825,-27.727096858680145,0.3008681132462696
0.0,0.85,0.15,8.100196242274539,12.365528339651526,0.5337577223538625,-27.072853024395993,0.2991999489294777
0.0,0.9,0.1,7.846673565920459,12.043722280033231,0.5269694383805525,-26.43091185154268,0.2968748717408505
0.0,0.95,0.05,7.581726611660278,11.811107270163443,0.514915873046348,-25.801669567780085,0.2938463571802339
0.0,1.0,0.0,7.305453892068514,11.673016614609171,0.4973396409633131,-25.730541537173124,0.28392149778558934
0.05,0.0,0.95,10.634715506424186,24.57014151485373,0.37178115156161595,-44.6425326384386,0.23821935893635585
0.05,0.05,0.9,10.578038916822585,23.6285568370276,0.38419777303523944,-43.38178452118614,0.24383595634837574
0.05,0.1,0.85,10.508806446789066,22.698713525004983,0.3968862128184019,-42.11774830035693,0.24951016782395294
0.05,0.15,0.8,10.427059119189863,21.78211529050242,0.40983435263894213,-40.860299930998,0.255188022036019
0.05,0.2,0.75,10.332841783350144,20.880506476523255,0.42301856007569755,-39.60402756939268,0.26090381250354727
0.05,0.25,0.7,10.226203085300822,19.995914789086676,0.43639929342284406,-38.34799885415181,0.2666684935553988
0.05,0.3,0.65,10.107195436251537,19.130700957821585,0.44991531963351744,-37.09327650229154,0.2724805244860787
0.05,0.35,0.6,9.975874979316202,18.28761557370647,0.46347622220923257,-35.84094104554951,0.2783374177212051
0.05,0.4,0.55,9.832301554517331,17.469862648419486,0.47695289437614224,-34.59208934974956,0.28423555036257203
0.05,0.45,0.5,9.67653866209508,16.68116818111094,0.49016583091308025,-33.347833076172776,0.29016993817835274
0.05,0.5,0.45,9.508653424150125,15.925849935475,0.5028713353822809,-32.109297087783496,0.29613396388449276
0.05,0.55,0.4,9.328716544649552,15.208881411758234,0.5147463730368127,-30.877617803374612,0.3021190495994162
0.05,0.6,0.35,9.136802267824407,14.535938386477712,0.5253738743780494,-29.653941502870573,0.3081142608627572
0.05,0.65,0.3,8.93298833499243,13.913410405178256,0.5342319473467153,-28.70811211326181,0.31116599725364064
0.05,0.7,0.25,8.717355939834137,13.348352961293164,0.5406926203377029,-28.021538390606228,0.3110948377750913
0.05,0.75,0.2,8.489989682158638,12.848350781501116,0.5440378925692729,-27.346428715767345,0.3104606371238339
0.05,0.8,0.15,8.250977520190217,12.42126250341051,0.5435017187936089,-26.683195822253282,0.30921998905802195
0.05,0.85,0.1,8.000410721410557,12.074827530928074,0.5383439808776244,-26.032246973302996,0.3073269368416512
0.05,0.9,0.05,7.738383811992211,11.816141966546457,0.5279543720491982,-25.393983549402645,0.3047329615275838
0.05,0.95,-0.0,7.464994524858426,11.651052115341225,0.5119704611915838,-24.862554155939787,0.3002505083764695
0.1,0.0,0.9,10.677910598505225,23.868435755889475,0.38452082458904324,-43.22538175849452,0.2470287170201067
0.1,0.05,0.85,10.612077690907906,22.934556141460558,0.39730778458081006,-41.95012164393812,0.2529689372770001
0.1,0.1,0.8,10.53370811820491,22.01344041097358,0.4103723883933043,-40.672246824893264,0.2589900716219543
0.1,0.15,0.75,10.442845724588334,21.106759708634993,0.4236958134757996,-39.392782532876026,0.2650954071567057
0.1,0.2,0.7,10.339538162660912,20.216456302169426,0.43724468969926944,-38.12255195977067,0.2712184161640555
0.1,0.25,0.65,10.223836862357727,19.344791515699757,0.45096566976582175,-36.85490887585321,0.27740773683085224
0.1,0.3,0.6,10.095796998111073,18.49440092306717,0.4647783420435074,-35.58934888358649,0.28367467556472126
0.1,0.35,0.55,9.955477454285644,17.668356617673915,0.47856615288303084,-34.32697510611852,0.2900190716924299
0.1,0.4,0.5,9.802940788909398,16.870235297243195,0.492165084992395,-33.06890608033872,0.296439826739167
0.1,0.45,0.45,9.638253195728597,16.104189074532563,0.5053500774279015,-31.816274163113267,0.302934691419741
0.1,0.5,0.4,9.461484464616788,15.375013036128877,0.5178196887318758,-30.57022388396907,0.3095000056436734
0.1,0.55,0.35,9.272707940365631,14.688199322002236,0.5291804509162998,-29.33191024743971,0.3161303802630795
0.1,0.6,0.3,9.072000479889986,14.049961784058205,0.5389338843954408,-28.347845026091246,0.3200243429982121
0.1,0.65,0.25,8.859442407877815,13.467208556082447,0.5464712584816943,-27.6522930321589,0.3203872603828736
0.1,0.7,0.2,8.635117470918008,12.947433714888811,0.5510835296042511,-26.968174186564763,0.32019659214526747
0.1,0.75,0.15,8.399112790139096,12.49849697598691,0.5519953961979758,-26.29590623521283,0.31940761862361106
0.1,0.8,0.1,8.15151881239311,12.128267265564501,0.5484310880317264,-25.635901531484084,0.3179727774497038
0.1,0.85,0.05,7.892429260018918,11.844127676619667,0.5397129644792319,-24.988566619017195,0.3158416159017499
0.1,0.9,0.0,7.621941079221872,11.652377754092411,0.5253812748279463,-24.399378180453514,0.3123825952797377
0.15,0.0,0.85,10.712498679306393,23.179718042754175,0.39743790939623436,-41.78790691926765,0.2563540380235473
0.15,0.05,0.8,10.637517757888947,22.254567269359438,0.4105906732443941,-40.49854438627034,0.26266419988900236
0.15,0.1,0.75,10.550021659145825,21.343342135199926,0.4240208305624415,-39.2072655209013,0.2690833323614888
0.15,0.15,0.7,10.450057037227122,20.44790444037852,0.4377004530377903,-37.91512116706102,0.27561713415558514
0.15,0.2,0.65,10.337674335602664,19.57042135096733,0.45158324274739414,-36.62318340034917,0.2822713203982182
0.15,0.25,0.6,10.212927754670066,18.71341874310622,0.46559786184872254,-35.34326965529052,0.288963863679808
0.15,0.3,0.55,10.075875217623341,17.879841822683325,0.4796393224655672,-34.06740246887896,0.29576294308988754
0.15,0.35,0.5,9.926578334609948,17.07312213692643,0.49355813582476565,-32.79554396532601,0.3026807039732317
0.15,0.4,0.45,9.76510236520105,16.297248502417023,0.5071471030201977,-31.528833818797743,0.30971974483176157
0.15,0.45,0.4,9.591516179207193,15.55683680397643,0.5201260565476233,-30.268424499254,0.31688191036978447
0.15,0.5,0.35,9.405892215865851,14.857189750772942,0.5321256811339136,-29.015479572363112,0.32416807698828626
0.15,0.55,0.3,9.2083064414338,14.204332317440493,0.5426729162038343,-27.990140511755246,0.32898393052248215
0.15,0.6,0.25,8.998838305213152,13.605001992906562,0.5511824481262797,-27.33548532801461,0.32919987325012834
0.15,0.65,0.2,8.77757069404641,13.066566313251299,0.5569612183933855,-26.716890204632914,0.3285401342303047
0.15,0.7,0.15,8.544589885310504,12.596836291668273,0.5592348524819599,-26.11033439094702,0.32724934722678567
0.15,0.75,0.1,8.299985498446105,12.203748081982159,0.557204676199907,-25.516170341969946,0.3252833551120319
0.15,0.8,0.05,8.043850445055822,11.894902407618595,0.5501390613229862,-24.93474436422328,0.32259606625834314
0.15,0.85,-0.0,7.776280877606756,11.67698559877305,0.5374915319126737,-24.36639628388132,0.31913955543564987
0.2,0.0,0.8,10.738478589703139,22.50518081210679,0.41050452635036133,-40.33037433947546,0.26626280478612596
0.2,0.05,0.75,10.654359924946899,21.589914196739144,0.4240109451815023,-39.02734212493466,0.27299732302650975
0.2,0.1,0.7,10.557749835939756,20.689893185040667,0.43778620580258704,-37.72311688748942,0.27987480110481416
0.2,0.15,0.65,10.448697774564252,19.80719612522483,0.4517902341143541,-36.4187747633783,0.2869041543119449
0.2,0.2,0.6,10.327256961896826,18.944244773195514,0.46595982408264897,-35.115412346749295,0.29409470861169706
0.2,0.25,0.55,10.193484354514194,18.103862987198756,0.48020051635727456,-33.81414523809072,0.3014562184772161
0.2,0.3,0.5,10.047440609078361,17.28934219224894,0.49437627609165496,-32.52783173284982,0.30888749952956324
0.2,0.35,0.45,9.889190045227325,16.504511661087975,0.5082967746938059,-31.247064627021814,0.3164838093839816
0.2,0.4,0.4,9.71880060679997,15.753809388531826,0.5217024279081951,-29.975986405635513,0.3242195427795106
0.2,0.45,0.35,9.536343821424875,15.042345850242015,0.5342480422556951,-28.96183060495925,0.3292728264142229
0.2,0.5,0.3,9.3418947585024,14.37594798457785,0.5454871405290966,-27.96801881450721,0.3340206119160894
0.2,0.55,0.25,9.135531985612344,13.761164397723682,0.5548608943931651,-27.332663236839462,0.33423497397426344
0.2,0.6,0.2,8.917337523378531,13.205205945230949,0.5616979813978061,-26.708916621917368,0.3338711805353031
0.2,0.65,0.15,8.687396798823066,12.715790808268393,0.5652339604509292,-26.097139934976944,0.3328869301566529
0.2,0.7,0.1,8.445798597245036,12.300864240053139,0.5646593980468994,-25.497688409574227,0.3312378150355657
0.2,0.75,0.05,8.192635012657256,11.968176117257315,0.5592025841771263,-24.910911208194065,0.32887737201529643
0.2,0.8,0.0,7.92800139681562,11.72472905631741,0.5482430652290549,-24.337151087814867,0.325757167230022
0.25,0.0,0.75,10.755851040617049,21.84613764410385,0.42368363650382607,-38.85307260135335,0.2768339881629438
0.25,0.05,0.7,10.662606865011458,20.942057144276642,0.43752181564052095,-37.53682671983874,0.28405722584365717
0.25,0.1,0.65,10.556897275627165,20.054721096341883,0.4516092361553312,-36.220135992760746,0.29146487130079113
0.25,0.15,0.6,10.438774509000993,19.18645283576063,0.46588989562158545,-34.90410148673134,0.29907013973613533
0.25,0.2,0.55,10.308294549711494,18.339960739722684,0.48027881164617386,-33.58984390133044,0.3068872418696533
0.25,0.25,0.5,10.165517095395792,17.51840177639406,0.4946522637169176,-32.381047828265885,0.3139341614054307
0.25,0.3,0.45,10.010505520063306,16.725450517479608,0.5088356520602574,-31.369495802153892,0.3191159202302501
0.25,0.35,0.4,9.84332683573479,15.965370104543345,0.522589002390899,-30.357133322883712,0.3242508681909937
0.25,0.4,0.35,9.664051652434624,15.24307854359902,0.5355907357613747,-29.344333048126682,0.329332809731437
0.25,0.45,0.3,9.472754136567652,14.564199179718276,0.5474213884461496,-28.331472335189357,0.33435446010343534
0.25,0.5,0.25,9.269511967711175,13.935078232847465,0.5575506529555787,-27.333500128916167,0.3391264171801012
0.25,0.55,0.2,9.054406293853523,13.362745463172867,0.565333397592069,-26.70462268466678,0.33905763810145007
