date,turnover,cost,cum_cost
2015-01-05,0.0,0.0,0.0
2016-01-14,0.0,0.0,0.0
2017-02-02,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0
2019-02-19,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2021-03-17,0.0,0.0,0.0
2022-03-28,0.0,0.0,0.0
2023-04-12,0.0,0.0,0.0
2024-04-24,0.0,0.0,0.0
2025-05-12,0.0,0.0,0.0
